iter	Passed	Remaining
0	0	65
1	1	60
2	1	56
3	2	50
4	2	49
5	3	48
6	3	47
7	4	47
8	4	46
9	5	46
10	5	45
11	6	44
12	6	44
13	7	43
14	7	42
15	8	42
16	8	41
17	9	41
18	9	40
19	9	39
20	10	39
21	10	38
22	12	40
23	12	40
24	13	39
25	13	39
26	14	38
27	14	37
28	15	37
29	15	36
30	16	36
31	16	35
32	17	34
33	17	34
34	18	33
35	18	33
36	19	32
37	19	32
38	20	31
39	20	30
40	21	30
41	21	29
42	21	28
43	22	28
44	22	27
45	23	27
46	23	26
47	24	26
48	24	25
49	25	25
50	25	24
51	26	24
52	26	23
53	27	23
54	27	22
55	28	22
56	28	21
57	28	20
58	29	20
59	29	19
60	30	19
61	30	18
62	31	18
63	31	17
64	32	17
65	32	16
66	33	16
67	33	15
68	34	15
69	34	14
70	35	14
71	35	13
72	36	13
73	36	12
74	37	12
75	37	11
76	38	11
77	38	10
78	39	10
79	39	9
80	40	9
81	40	8
82	42	8
83	43	8
84	43	7
85	44	7
86	44	6
87	45	6
88	45	5
89	45	5
90	46	4
91	46	4
92	47	3
93	47	3
94	48	2
95	48	2
96	49	1
97	49	1
98	50	0
99	50	0
